company_id,company_name,company_url
1,Mrsool,https://himalayas.app/companies/mrsool
2,SafeLease,https://himalayas.app/companies/safelease
3,"Codest Ltd. Company No. 12590542, VAT number: GB363431020",https://himalayas.app/companies/codest-ltd-company-no-12590542-vat-number-gb363431020
4,Comfrt,https://himalayas.app/companies/comfrt
5,Eqvilent,https://himalayas.app/companies/eqvilent
6,Chainlink Labs,https://himalayas.app/companies/chainlink-labs
7,Campact e.V.,https://himalayas.app/companies/campact-e-v
8,YipitData,https://himalayas.app/companies/yipitdata
9,DaVita Kidney Care,https://himalayas.app/companies/davita-kidney-care
10,Turtles,https://himalayas.app/companies/turtles
11,ICF,https://himalayas.app/companies/icf
12,Mondelēz International,https://himalayas.app/companies/mondelez-international
13,E&C,https://himalayas.app/companies/e-c
14,Remote World,https://himalayas.app/companies/remote-world
15,GAN,https://himalayas.app/companies/gan
16,DataSolutions,https://himalayas.app/companies/datasolutions
17,The League,https://himalayas.app/companies/the-league
18,Improvado,https://himalayas.app/companies/improvado
19,Hack The Box,https://himalayas.app/companies/hack-the-box
20,Urrly,https://himalayas.app/companies/urrly
21,Loopback Analytics,https://himalayas.app/companies/loopback-analytics
22,Array,https://himalayas.app/companies/array
23,Dwelly,https://himalayas.app/companies/dwelly
24,Hire Hangar,https://himalayas.app/companies/hire-hangar
25,Libertex Group,https://himalayas.app/companies/libertexgroup
26,Recidiviz,https://himalayas.app/companies/recidiviz
27,"World Insurance Associates, LLC.",https://himalayas.app/companies/world-insurance-associates-llc
28,ComCap,https://himalayas.app/companies/comcap
29,NMI,https://himalayas.app/companies/nmi
30,Fusemachines,https://himalayas.app/companies/fusemachines
31,Valerie Group,https://himalayas.app/companies/valerie-group
32,NielsenIQ,https://himalayas.app/companies/nielseniq
33,Alpaca,https://himalayas.app/companies/alpaca
34,Stio,https://himalayas.app/companies/stio
35,Panterra Global Ltd,https://himalayas.app/companies/panterra-global-ltd
36,Builders FirstSource,https://himalayas.app/companies/builders-firstsource
37,KultreMedia LLC,https://himalayas.app/companies/kultremedia-llc
38,Netomi,https://himalayas.app/companies/netomi
39,9amHealth,https://himalayas.app/companies/9amhealth
40,Phase2,https://himalayas.app/companies/phase2
41,Alter Solutions,https://himalayas.app/companies/alter-solutions
42,The Kraft Heinz Company,https://himalayas.app/companies/kraftheinz
43,Capgemini Technology Services,https://himalayas.app/companies/capgemini-technology-services
44,NextGen Healthcare,https://himalayas.app/companies/nextgen-healthcare
45,Mercor,https://himalayas.app/companies/work-mercor
46,TELUS International AI Inc,https://himalayas.app/companies/telus-international-ai-inc
47,Keyrus,https://himalayas.app/companies/keyrus
48,Monocle Solutions,https://himalayas.app/companies/monocle-solutions
49,NearSource Technologies,https://himalayas.app/companies/nearsource-technologies
50,KMC Solutions Inc,https://himalayas.app/companies/kmc-solutions-inc
51,Ryz Labs,https://himalayas.app/companies/ryz-labs
52,Resident,https://himalayas.app/companies/resident
53,Monzo,https://himalayas.app/companies/monzo
54,Ministry of Education,https://himalayas.app/companies/ministry-of-education
55,Lodgify,https://himalayas.app/companies/lodgify
56,Lean Tech,https://himalayas.app/companies/lean-tech
57,Highmark Health,https://himalayas.app/companies/highmark-health
58,Jobs for Humanity,https://himalayas.app/companies/jobs-for-humanity
59,Valce Talent Solutions,https://himalayas.app/companies/valce-talent-solutions
60,"HOME DEPOT U.S.A., INC.",https://himalayas.app/companies/home-depot-u-s-a-inc
61,Sigma Software,https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b
62,Walmart - Internal,https://himalayas.app/companies/walmart-com
63,"Siegen HR Solutions, Inc.",https://himalayas.app/companies/siegen-hr-solutions-inc
64,Red Robin,https://himalayas.app/companies/red-robin
65,Careerswift,https://himalayas.app/companies/careerswift
66,Blueprint,https://himalayas.app/companies/bryanjohnson
67,CRC Group,https://himalayas.app/companies/crc-group
68,Social Discovery Ventures,https://himalayas.app/companies/social-discovery-ventures
69,Danaher,https://himalayas.app/companies/danaher
70,WellBe Senior Medical,https://himalayas.app/companies/wellbe-senior-medical
71,Trax Technologies,https://himalayas.app/companies/trax-technologies
72,LexisNexis,https://himalayas.app/companies/lexisnexis
73,Kraken,https://himalayas.app/companies/kraken
74,Félix,https://himalayas.app/companies/felixpago
75,SBC Performance,https://himalayas.app/companies/sbc-performance
76,WorkWave,https://himalayas.app/companies/workwave
77,GoFasti,https://himalayas.app/companies/gofasti
78,Cardinal Health,https://himalayas.app/companies/cardinal-health
79,Tort Experts,https://himalayas.app/companies/tort-experts
80,Sajix Software Solution Private Limited,https://himalayas.app/companies/sajix-software-solution-private-limited
81,Thndr,https://himalayas.app/companies/thndr
82,Zoetis,https://himalayas.app/companies/zoetis
83,Empassion,https://himalayas.app/companies/empassion
84,Marktine Technology Solutions Pvt Ltd,https://himalayas.app/companies/marktine-technology-solutions-pvt-ltd
85,TTEC Digital,https://himalayas.app/companies/ttec-digital
86,Advarra,https://himalayas.app/companies/advarra
87,PradeepIT Consulting Services Pvt Ltd,https://himalayas.app/companies/pradeepit-consulting-services-pvt-ltd
88,Venon Solutions,https://himalayas.app/companies/venon-solutions
89,BetMGM,https://himalayas.app/companies/betmgm
90,Gridlines,https://himalayas.app/companies/gridlines
91,"SpaceCoast AV Consultants, LLC",https://himalayas.app/companies/spacecoast-av-consultants-llc
92,EXL,https://himalayas.app/companies/exl
93,Sedgwick,https://himalayas.app/companies/sedgwick
94,SolutionHealth,https://himalayas.app/companies/solutionhealth
95,Concentrix,https://himalayas.app/companies/concentrix
96,Capitex,https://himalayas.app/companies/capitex
97,Brighty App,https://himalayas.app/companies/brighty-app
98,CrewBloom,https://himalayas.app/companies/crewbloom
99,"ProSidian Consulting, LLC",https://himalayas.app/companies/prosidian-consulting-llc
100,3M Consultancy,https://himalayas.app/companies/3m-consultancy
101,NEXU,https://himalayas.app/companies/nexu
102,LTG,https://himalayas.app/companies/ltg
103,ClickView,https://himalayas.app/companies/clickview
104,Ravio,https://himalayas.app/companies/ravio
105,"Radiance Technologies, Inc.",https://himalayas.app/companies/radiance-technologies-inc
106,Wood Mackenzie Inc.,https://himalayas.app/companies/wood-mackenzie-inc
107,Jonas Software UK & Europe,https://himalayas.app/companies/jonas-software-uk-europe
108,Gridware,https://himalayas.app/companies/gridware-com
109,Talent Shore,https://himalayas.app/companies/talent-shore
110,Claritev,https://himalayas.app/companies/claritev-com
111,NCD,https://himalayas.app/companies/ncd
112,Averna,https://himalayas.app/companies/averna
113,Mondo Unlimited,https://himalayas.app/companies/mondo-unlimited
114,Groundtruth India Pvt Ltd,https://himalayas.app/companies/groundtruth-india-pvt-ltd
115,Pavago,https://himalayas.app/companies/pavago
116,virtualstaff36,https://himalayas.app/companies/virtualstaff36
117,Digital Promise,https://himalayas.app/companies/digital-promise
118,CI&T,https://himalayas.app/companies/ci-t
119,Klikit,https://himalayas.app/companies/klikit
120,OddBytes,https://himalayas.app/companies/oddbytes
121,"HRTx, Inc.",https://himalayas.app/companies/hrtx-inc
122,MultiCare Health System,https://himalayas.app/companies/multicare-health-system
123,"FormFactor, Inc.",https://himalayas.app/companies/formfactor-inc
124,General Dynamics Information Technology,https://himalayas.app/companies/general-dynamics-information-technology
125,Scalepex,https://himalayas.app/companies/scalepex
126,Mission Underwriting Managers,https://himalayas.app/companies/mission-underwriting-managers
127,National University,https://himalayas.app/companies/national-university
128,Virtual Teammate,https://himalayas.app/companies/virtual-teammate
129,Launch Potato,https://himalayas.app/companies/launch-potato
130,Satispay,https://himalayas.app/companies/satispay
131,Ceox Services Ltd,https://himalayas.app/companies/ceox-services-ltd
132,Newsquest Media Group,https://himalayas.app/companies/newsquest-media-group
133,Evotix,https://himalayas.app/companies/evotix
134,Moniepoint,https://himalayas.app/companies/moniepoint
135,Revecore,https://himalayas.app/companies/revecore
136,Precision Medicine Group,https://himalayas.app/companies/precision-medicine-group
137,Source A Rep Pty Ltd,https://himalayas.app/companies/source-a-rep-pty-ltd
138,Gramian Consulting Group,https://himalayas.app/companies/gramian-consulting-group
